Iteration,AES256 Encryption (microseconds),Key Generation (microseconds),Signing (microseconds),Verification (microseconds)
1,19712,1015092,11767006,27791
2,2984,981289,11782087,28829
3,2857,983801,11779870,28130
4,2790,980965,11791063,23580
5,2846,984800,11765250,27030
6,2880,984914,11768050,24212
7,2796,980794,11765227,28125
8,2793,981268,11775192,28360
9,2848,979786,11772836,31691
10,2798,982031,11777328,27380
11,2882,981322,11777621,27403
12,2852,981701,11771922,28374
13,2851,979378,11777316,26906
14,2858,980921,11791041,25844
15,2792,981270,11787538,23173
16,2846,978992,11794576,28192
17,2861,981143,11777309,27861
18,2855,980889,11769960,26448
19,2786,980074,11776943,26952
20,2869,980619,11768980,28287
21,2877,981020,11783399,26658
22,2845,983392,11780607,26416
23,2863,981814,11787080,28013
24,2888,980520,11787153,24533
25,2800,980909,11782919,27452
26,2856,979912,11777617,28237
27,2864,984675,11781704,23896
28,2866,983333,11795498,27401
29,2814,984954,11790778,28276
30,2886,985012,11779441,23352
31,2844,985114,11769424,26932
32,2848,979836,11775149,24530
33,2850,979941,11768936,27372
34,2851,981980,11773301,24997
35,2844,989849,11773379,28185
36,2824,981550,11763694,27468
37,2869,982545,11773866,26936
38,2786,981542,11761115,24558
39,2796,983665,11776244,24523
40,2790,984396,11773845,25886
41,2785,980293,11768442,26659
42,2801,983278,11762531,25005
43,2836,983424,11767203,27544
44,2787,981615,11768796,26329
45,2845,981553,11774233,26758
46,2853,982363,11775686,27799
47,2847,985925,11780188,25720
48,2838,980187,11773094,23228
49,2788,986111,11770567,28501
50,2811,981201,11772708,28210
51,2857,983086,11778922,23995
52,2813,985467,11765674,26490
53,2857,984332,11790264,26212
54,2851,984708,11771855,27694
55,2845,988495,11774943,28680
56,2795,979660,11766565,28774
57,2853,983988,11759977,26480
58,2819,981952,11769713,27835
59,2859,985284,11784922,27786
60,2793,984370,11764804,28337
61,2862,979191,11767390,26454
62,2797,979040,11775355,27043
63,2851,983010,11778548,28322
64,2855,984944,11768505,27376
65,2798,982217,11779148,23631
66,2851,981631,11763730,27513
67,2840,985342,11768055,28723
68,2791,984519,11775094,27723
69,2845,980125,11764389,23735
70,2797,981324,11765328,29872
71,2877,980427,11769434,23764
72,2881,980800,11775495,24106
73,2797,980124,11774017,31325
74,2852,979808,11781325,26997
75,2791,984844,11780263,28147
76,2849,981195,11772369,27448
77,2837,984795,11759313,27062
78,2851,985041,11768189,26875
79,2854,979263,11773389,26535
80,2872,987141,11775718,27648
81,2785,983702,11770440,27006
82,2860,981094,11770862,24930
83,2809,983688,11767338,23962
84,2845,979386,11770219,26829
85,2789,985231,11784005,28485
86,2862,979273,11772146,27821
87,2843,983888,11762155,31850
88,2794,981469,11769328,27521
89,2801,983338,11767981,27485
90,2857,986135,11770927,27385
91,2853,979732,11782644,24159
92,2843,981982,11771870,23784
93,2795,980269,11773579,25174
94,2848,981754,11770110,23765
95,2856,982426,11774952,23308
96,2843,981052,11779216,28025
97,2790,981430,11763697,27012
98,2855,980103,11776382,28112
99,2789,982823,11774040,27495
100,2858,980396,11771633,28371
